"rt","recall","stimuli","accuracy","set_size","trial_type","trial_index","time_elapsed","internal_node_id","stimulus"
"5374","H,F,P","H,F,P","3","3","operation-span-recall","9","41739","0.0-3.0-1.0",""
"5017","L,F,K,R","L,F,K,R","4","4","operation-span-recall","19","54248","0.0-3.0-1.1",""
"7734","K,F,S,R,P","K,F,S,R,P","5","5","operation-span-recall","31","69371","0.0-3.0-1.2",""
"2542","","","1","","html-button-operationspan","34","88612","0.0-5.0-0.0","<div style=""font-size:46px;"">1 + 5 = 6<br><br><br><br></div>"
"3273","","","1","","html-button-operationspan","36","92888","0.0-5.0-0.1","<div style=""font-size:46px;"">7 - 5 = 1<br><br><br><br></div>"
"4442","","","1","","html-button-operationspan","38","98334","0.0-5.0-0.2","<div style=""font-size:46px;"">3 - 2 = 3<br><br><br><br></div>"
"1600","","","1","","html-button-operationspan","40","100939","0.0-5.0-0.3","<div style=""font-size:46px;"">6 + 4 = 10<br><br><br><br></div>"
"1769","","","1","","html-button-operationspan","42","103711","0.0-5.0-0.4","<div style=""font-size:46px;"">7 + 7 = 16<br><br><br><br></div>"
"2093","","","1","","html-button-operationspan","46","143894","0.0-7.0-0.0-1.0","<div style=""font-size:46px;"">4 + 1 = 5<br><br><br><br></div>"
"1801","","","1","","html-button-operationspan","49","146702","0.0-7.0-0.0-1.1","<div style=""font-size:46px;"">4 - 1 = 3<br><br><br><br></div>"
"1635","","","1","","html-button-operationspan","52","149344","0.0-7.0-0.0-1.2","<div style=""font-size:46px;"">1 - 1 = 1<br><br><br><br></div>"
"5707","N,P,F","N,P,F","3","3","operation-span-recall","54","155057","0.0-7.0-1.0",""
"2227","","","1","","html-button-operationspan","57","160015","0.0-7.0-0.1-1.3","<div style=""font-size:46px;"">5 - 1 = 6<br><br><br><br></div>"
"1628","","","1","","html-button-operationspan","60","162649","0.0-7.0-0.1-1.4","<div style=""font-size:46px;"">5 - 3 = 0<br><br><br><br></div>"
"1705","","","1","","html-button-operationspan","63","165361","0.0-7.0-0.1-1.5","<div style=""font-size:46px;"">1 - 1 = 2<br><br><br><br></div>"
"2469","","","1","","html-button-operationspan","66","168837","0.0-7.0-0.1-1.6","<div style=""font-size:46px;"">3 + 7 = 8<br><br><br><br></div>"
"8501","T,J,H,K","T,J,H,K","4","4","operation-span-recall","68","177344","0.0-7.0-1.1",""
"1657","","","1","","html-button-operationspan","72","185718","0.0-9.0-0.0-1.0","<div style=""font-size:46px;"">1 - 1 = 0<br><br><br><br></div>"
"1568","","","1","","html-button-operationspan","75","188291","0.0-9.0-0.0-1.1","<div style=""font-size:46px;"">5 + 7 = 11<br><br><br><br></div>"
"1744","","","1","","html-button-operationspan","78","191041","0.0-9.0-0.0-1.2","<div style=""font-size:46px;"">10 - 6 = 4<br><br><br><br></div>"
"1210","","","1","","html-button-operationspan","81","193256","0.0-9.0-0.0-1.3","<div style=""font-size:46px;"">10 - 9 = 3<br><br><br><br></div>"
"7946","Q,N,L,T","Q,N,L,T","4","4","operation-span-recall","83","201206","0.0-9.0-1.0",""
"1779","","","1","","html-button-operationspan","86","205806","0.0-9.0-0.1-1.4","<div style=""font-size:46px;"">1 - 1 = 0<br><br><br><br></div>"
"1446","","","1","","html-button-operationspan","89","208257","0.0-9.0-0.1-1.5","<div style=""font-size:46px;"">8 + 1 = 8<br><br><br><br></div>"
"1194","","","1","","html-button-operationspan","92","210457","0.0-9.0-0.1-1.6","<div style=""font-size:46px;"">1 - 1 = 0<br><br><br><br></div>"
"1614","","","1","","html-button-operationspan","95","213077","0.0-9.0-0.1-1.7","<div style=""font-size:46px;"">2 - 1 = 1<br><br><br><br></div>"
"5607","H,L,N,K","H,L,N,K","4","4","operation-span-recall","97","218690","0.0-9.0-1.1",""
"1206","","","1","","html-button-operationspan","100","222991","0.0-9.0-0.2-1.8","<div style=""font-size:46px;"">4 - 3 = 3<br><br><br><br></div>"
"2109","","","1","","html-button-operationspan","103","226108","0.0-9.0-0.2-1.9","<div style=""font-size:46px;"">9 + 4 = 12<br><br><br><br></div>"
"1317","","","1","","html-button-operationspan","106","228429","0.0-9.0-0.2-1.10","<div style=""font-size:46px;"">10 - 1 = 9<br><br><br><br></div>"
"1140","","","1","","html-button-operationspan","109","230575","0.0-9.0-0.2-1.11","<div style=""font-size:46px;"">2 + 1 = 3<br><br><br><br></div>"
"4987","S,T,L,F","S,T,L,F","4","4","operation-span-recall","111","235569","0.0-9.0-1.2",""
"1710","","","1","","html-button-operationspan","114","240047","0.0-9.0-0.3-1.12","<div style=""font-size:46px;"">10 + 9 = 21<br><br><br><br></div>"
"981","","","1","","html-button-operationspan","117","242032","0.0-9.0-0.3-1.13","<div style=""font-size:46px;"">10 + 8 = 18<br><br><br><br></div>"
"1353","","","1","","html-button-operationspan","120","244393","0.0-9.0-0.3-1.14","<div style=""font-size:46px;"">2 + 6 = 9<br><br><br><br></div>"
"1399","","","1","","html-button-operationspan","123","246798","0.0-9.0-0.3-1.15","<div style=""font-size:46px;"">2 + 10 = 14<br><br><br><br></div>"
"4066","","","1","","html-button-operationspan","126","251869","0.0-9.0-0.3-1.16","<div style=""font-size:46px;"">6 - 4 = 2<br><br><br><br></div>"
"8189","S,V,T,J,N","S,V,T,J,N","5","5","operation-span-recall","128","260063","0.0-9.0-1.3",""
"1982","","","1","","html-button-operationspan","131","267243","0.0-9.0-0.4-1.17","<div style=""font-size:46px;"">5 - 1 = 3<br><br><br><br></div>"
"1056","","","1","","html-button-operationspan","134","269305","0.0-9.0-0.4-1.18","<div style=""font-size:46px;"">4 - 2 = 2<br><br><br><br></div>"
