"rt","recall","stimuli","accuracy","set_size","trial_type","trial_index","time_elapsed","internal_node_id","stimulus"
"4850","T,Q,R","T,Q,R","3","3","operation-span-recall","9","68348","0.0-3.0-1.0",""
"4927","L,R,P,T","L,R,P,T","4","4","operation-span-recall","19","79637","0.0-3.0-1.1",""
"9151","V,F,P,Q,K","V,F,P,Q,K","5","5","operation-span-recall","31","95125","0.0-3.0-1.2",""
"2517","","","1","","html-button-operationspan","34","124807","0.0-5.0-0.0","<div style=""font-size:46px;"">4 + 9 = 13<br><br><br><br></div>"
"2996","","","1","","html-button-operationspan","36","128807","0.0-5.0-0.1","<div style=""font-size:46px;"">4 + 5 = 11<br><br><br><br></div>"
"1457","","","1","","html-button-operationspan","38","131268","0.0-5.0-0.2","<div style=""font-size:46px;"">5 + 4 = 10<br><br><br><br></div>"
"1930","","","1","","html-button-operationspan","40","134201","0.0-5.0-0.3","<div style=""font-size:46px;"">3 + 8 = 11<br><br><br><br></div>"
"1585","","","1","","html-button-operationspan","42","136789","0.0-5.0-0.4","<div style=""font-size:46px;"">10 + 6 = 17<br><br><br><br></div>"
"1851","","","1","","html-button-operationspan","46","174942","0.0-7.0-0.0-1.0","<div style=""font-size:46px;"">8 - 5 = 3<br><br><br><br></div>"
"1488","","","1","","html-button-operationspan","49","177435","0.0-7.0-0.0-1.1","<div style=""font-size:46px;"">3 - 2 = 3<br><br><br><br></div>"
"1234","","","1","","html-button-operationspan","52","179674","0.0-7.0-0.0-1.2","<div style=""font-size:46px;"">2 + 9 = 9<br><br><br><br></div>"
"4486","L,T,P","L,T,P","3","3","operation-span-recall","54","184162","0.0-7.0-1.0",""
"1904","","","1","","html-button-operationspan","57","188319","0.0-7.0-0.1-1.3","<div style=""font-size:46px;"">10 + 6 = 16<br><br><br><br></div>"
"1152","","","1","","html-button-operationspan","60","190475","0.0-7.0-0.1-1.4","<div style=""font-size:46px;"">3 + 2 = 3<br><br><br><br></div>"
"1017","","","1","","html-button-operationspan","63","192497","0.0-7.0-0.1-1.5","<div style=""font-size:46px;"">2 + 5 = 5<br><br><br><br></div>"
"1072","","","0","","html-button-operationspan","66","194573","0.0-7.0-0.1-1.6","<div style=""font-size:46px;"">8 - 4 = 4<br><br><br><br></div>"
"5637","N,V,J,T","N,V,J,T","4","4","operation-span-recall","68","200212","0.0-7.0-1.1",""
"1626","","","1","","html-button-operationspan","72","216258","0.0-9.0-0.0-1.0","<div style=""font-size:46px;"">5 + 6 = 11<br><br><br><br></div>"
"1609","","","1","","html-button-operationspan","75","218872","0.0-9.0-0.0-1.1","<div style=""font-size:46px;"">2 + 7 = 9<br><br><br><br></div>"
"1698","","","1","","html-button-operationspan","78","221574","0.0-9.0-0.0-1.2","<div style=""font-size:46px;"">10 - 3 = 6<br><br><br><br></div>"
"1465","","","1","","html-button-operationspan","81","224043","0.0-9.0-0.0-1.3","<div style=""font-size:46px;"">6 + 10 = 18<br><br><br><br></div>"
"5060","R,N,T,K","R,N,T,K","4","4","operation-span-recall","83","229105","0.0-9.0-1.0",""
"1604","","","0","","html-button-operationspan","86","236158","0.0-9.0-0.1-1.4","<div style=""font-size:46px;"">8 - 4 = 5<br><br><br><br></div>"
"3017","","","1","","html-button-operationspan","89","240180","0.0-9.0-0.1-1.5","<div style=""font-size:46px;"">6 + 7 = 14<br><br><br><br></div>"
"2209","","","1","","html-button-operationspan","92","243394","0.0-9.0-0.1-1.6","<div style=""font-size:46px;"">8 - 6 = 2<br><br><br><br></div>"
"1664","","","1","","html-button-operationspan","95","246062","0.0-9.0-0.1-1.7","<div style=""font-size:46px;"">5 - 3 = 1<br><br><br><br></div>"
"5208","V,R,S,P","V,S,R,P","2","4","operation-span-recall","97","251274","0.0-9.0-1.1",""
"2081","","","1","","html-button-operationspan","100","260773","0.0-9.0-0.2-1.8","<div style=""font-size:46px;"">9 + 5 = 15<br><br><br><br></div>"
"2034","","","1","","html-button-operationspan","103","263812","0.0-9.0-0.2-1.9","<div style=""font-size:46px;"">6 + 10 = 14<br><br><br><br></div>"
"1983","","","1","","html-button-operationspan","106","266799","0.0-9.0-0.2-1.10","<div style=""font-size:46px;"">5 + 9 = 14<br><br><br><br></div>"
"1515","","","1","","html-button-operationspan","109","269318","0.0-9.0-0.2-1.11","<div style=""font-size:46px;"">2 - 1 = 1<br><br><br><br></div>"
"6863","T,H,P,J","T,H,P,J","4","4","operation-span-recall","111","276183","0.0-9.0-1.2",""
"2273","","","1","","html-button-operationspan","114","281145","0.0-9.0-0.3-1.12","<div style=""font-size:46px;"">7 + 9 = 15<br><br><br><br></div>"
"2048","","","0","","html-button-operationspan","117","284198","0.0-9.0-0.3-1.13","<div style=""font-size:46px;"">3 + 7 = 12<br><br><br><br></div>"
"2634","","","1","","html-button-operationspan","120","287836","0.0-9.0-0.3-1.14","<div style=""font-size:46px;"">5 - 4 = 3<br><br><br><br></div>"
"2735","","","1","","html-button-operationspan","123","291576","0.0-9.0-0.3-1.15","<div style=""font-size:46px;"">2 - 1 = 0<br><br><br><br></div>"
"1948","","","1","","html-button-operationspan","126","294528","0.0-9.0-0.3-1.16","<div style=""font-size:46px;"">6 - 3 = 3<br><br><br><br></div>"
"6382","F,L,J,R","F,L,K,J,R","2","5","operation-span-recall","128","300915","0.0-9.0-1.3",""
"2436","","","1","","html-button-operationspan","131","308496","0.0-9.0-0.4-1.17","<div style=""font-size:46px;"">3 - 1 = 2<br><br><br><br></div>"
"1880","","","1","","html-button-operationspan","134","311380","0.0-9.0-0.4-1.18","<div style=""font-size:46px;"">5 + 7 = 11<br><br><br><br></div>"
"1626","","","1","","html-button-operationspan","137","314011","0.0-9.0-0.4-1.19","<div style=""font-size:46px;"">9 - 1 = 8<br><br><br><br></div>"
"1552","","","1","","html-button-operationspan","140","316566","0.0-9.0-0.4-1.20","<div style=""font-size:46px;"">3 - 2 = 1<br><br><br><br></div>"
"1354","","","1","","html-button-operationspan","143","318923","0.0-9.0-0.4-1.21","<div style=""font-size:46px;"">2 + 2 = 3<br><br><br><br></div>"
"7897","K,H,F,N,V","K,H,F,N,V","5","5","operation-span-recall","145","326824","0.0-9.0-1.4",""
"1746","","","1","","html-button-operationspan","148","331008","0.0-9.0-0.5-1.22","<div style=""font-size:46px;"">8 - 4 = 4<br><br><br><br></div>"
"1241","","","1","","html-button-operationspan","151","333254","0.0-9.0-0.5-1.23","<div style=""font-size:46px;"">2 - 1 = 1<br><br><br><br></div>"
"1407","","","1","","html-button-operationspan","154","335664","0.0-9.0-0.5-1.24","<div style=""font-size:46px;"">10 - 2 = 8<br><br><br><br></div>"
"3237","","","1","","html-button-operationspan","157","339907","0.0-9.0-0.5-1.25","<div style=""font-size:46px;"">3 - 1 = 4<br><br><br><br></div>"
"1966","","","1","","html-button-operationspan","160","342878","0.0-9.0-0.5-1.26","<div style=""font-size:46px;"">10 + 8 = 17<br><br><br><br></div>"
"6802","S,R,P,F,L","S,R,P,F,L","5","5","operation-span-recall","162","349682","0.0-9.0-1.5",""
"1234","","","1","","html-button-operationspan","165","353322","0.0-9.0-0.6-1.27","<div style=""font-size:46px;"">4 - 1 = 4<br><br><br><br></div>"
"3155","","","1","","html-button-operationspan","168","357481","0.0-9.0-0.6-1.28","<div style=""font-size:46px;"">9 + 8 = 17<br><br><br><br></div>"
"2145","","","1","","html-button-operationspan","171","360631","0.0-9.0-0.6-1.29","<div style=""font-size:46px;"">6 - 5 = 2<br><br><br><br></div>"
"1641","","","1","","html-button-operationspan","174","363274","0.0-9.0-0.6-1.30","<div style=""font-size:46px;"">3 + 6 = 7<br><br><br><br></div>"
"2325","","","1","","html-button-operationspan","177","366604","0.0-9.0-0.6-1.31","<div style=""font-size:46px;"">2 - 1 = 1<br><br><br><br></div>"
"2308","","","1","","html-button-operationspan","180","369914","0.0-9.0-0.6-1.32","<div style=""font-size:46px;"">8 + 8 = 16<br><br><br><br></div>"
"10961","Q,V,J,R,T,H","Q,V,J,R,T,H","6","6","operation-span-recall","182","380878","0.0-9.0-1.6",""
"1289","","","1","","html-button-operationspan","185","384512","0.0-9.0-0.7-1.33","<div style=""font-size:46px;"">10 + 3 = 15<br><br><br><br></div>"
"1479","","","1","","html-button-operationspan","188","386995","0.0-9.0-0.7-1.34","<div style=""font-size:46px;"">1 + 2 = 3<br><br><br><br></div>"
"2443","","","1","","html-button-operationspan","191","390447","0.0-9.0-0.7-1.35","<div style=""font-size:46px;"">1 - 1 = 0<br><br><br><br></div>"
"1647","","","1","","html-button-operationspan","194","393099","0.0-9.0-0.7-1.36","<div style=""font-size:46px;"">4 + 3 = 7<br><br><br><br></div>"
"1486","","","1","","html-button-operationspan","197","395588","0.0-9.0-0.7-1.37","<div style=""font-size:46px;"">1 - 1 = 0<br><br><br><br></div>"
"2051","","","1","","html-button-operationspan","200","398644","0.0-9.0-0.7-1.38","<div style=""font-size:46px;"">1 + 9 = 8<br><br><br><br></div>"
