"rt","recall","stimuli","accuracy","set_size","trial_type","trial_index","time_elapsed","internal_node_id","stimulus"
"4121","S,V,P","S,V,P","3","3","operation-span-recall","9","53440","0.0-3.0-1.0",""
"5319","T,Q,L,R","T,Q,L,R","4","4","operation-span-recall","19","64880","0.0-3.0-1.1",""
"6915","K,Q,R,T,N","K,Q,R,T,N","5","5","operation-span-recall","31","78214","0.0-3.0-1.2",""
"1881","","","1","","html-button-operationspan","34","99322","0.0-5.0-0.0","<div style=""font-size:46px;"">4 + 3 = 7<br><br><br><br></div>"
"2054","","","1","","html-button-operationspan","36","102378","0.0-5.0-0.1","<div style=""font-size:46px;"">2 + 7 = 8<br><br><br><br></div>"
"1764","","","1","","html-button-operationspan","38","105144","0.0-5.0-0.2","<div style=""font-size:46px;"">10 + 3 = 12<br><br><br><br></div>"
"1714","","","1","","html-button-operationspan","40","107863","0.0-5.0-0.3","<div style=""font-size:46px;"">1 - 1 = 1<br><br><br><br></div>"
"1992","","","1","","html-button-operationspan","42","110860","0.0-5.0-0.4","<div style=""font-size:46px;"">2 - 1 = 0<br><br><br><br></div>"
"4036","","","1","","html-button-operationspan","46","148650","0.0-7.0-0.0-1.0","<div style=""font-size:46px;"">6 + 9 = 13<br><br><br><br></div>"
"2503","","","1","","html-button-operationspan","49","152162","0.0-7.0-0.0-1.1","<div style=""font-size:46px;"">6 + 5 = 11<br><br><br><br></div>"
"1982","","","1","","html-button-operationspan","52","155152","0.0-7.0-0.0-1.2","<div style=""font-size:46px;"">5 - 2 = 3<br><br><br><br></div>"
"5169","R,V,T","R,V,T","3","3","operation-span-recall","54","160332","0.0-7.0-1.0",""
"2251","","","1","","html-button-operationspan","57","164994","0.0-7.0-0.1-1.3","<div style=""font-size:46px;"">1 - 1 = 0<br><br><br><br></div>"
"1706","","","1","","html-button-operationspan","60","167711","0.0-7.0-0.1-1.4","<div style=""font-size:46px;"">6 - 2 = 4<br><br><br><br></div>"
"1446","","","1","","html-button-operationspan","63","170167","0.0-7.0-0.1-1.5","<div style=""font-size:46px;"">7 - 3 = 4<br><br><br><br></div>"
"1581","","","1","","html-button-operationspan","66","172755","0.0-7.0-0.1-1.6","<div style=""font-size:46px;"">2 + 5 = 7<br><br><br><br></div>"
"5363","H,S,P,F","H,S,P,F","4","4","operation-span-recall","68","178123","0.0-7.0-1.1",""
"1778","","","1","","html-button-operationspan","72","189851","0.0-9.0-0.0-1.0","<div style=""font-size:46px;"">5 + 3 = 7<br><br><br><br></div>"
"1756","","","1","","html-button-operationspan","75","192611","0.0-9.0-0.0-1.1","<div style=""font-size:46px;"">7 + 7 = 14<br><br><br><br></div>"
"1608","","","1","","html-button-operationspan","78","195227","0.0-9.0-0.0-1.2","<div style=""font-size:46px;"">5 - 1 = 4<br><br><br><br></div>"
"1590","","","1","","html-button-operationspan","81","197822","0.0-9.0-0.0-1.3","<div style=""font-size:46px;"">2 + 3 = 5<br><br><br><br></div>"
"4348","V,H,R,P","V,H,R,P","4","4","operation-span-recall","83","202176","0.0-9.0-1.0",""
"1384","","","1","","html-button-operationspan","86","206387","0.0-9.0-0.1-1.4","<div style=""font-size:46px;"">3 - 2 = 1<br><br><br><br></div>"
"1306","","","1","","html-button-operationspan","89","208698","0.0-9.0-0.1-1.5","<div style=""font-size:46px;"">10 + 3 = 15<br><br><br><br></div>"
"1127","","","1","","html-button-operationspan","92","210829","0.0-9.0-0.1-1.6","<div style=""font-size:46px;"">3 + 10 = 13<br><br><br><br></div>"
"2902","","","1","","html-button-operationspan","95","214740","0.0-9.0-0.1-1.7","<div style=""font-size:46px;"">6 - 5 = 3<br><br><br><br></div>"
"4784","T,P,N,J","T,P,N,J","4","4","operation-span-recall","97","219530","0.0-9.0-1.1",""
"1577","","","1","","html-button-operationspan","100","223450","0.0-9.0-0.2-1.8","<div style=""font-size:46px;"">9 + 4 = 13<br><br><br><br></div>"
"2291","","","1","","html-button-operationspan","103","226745","0.0-9.0-0.2-1.9","<div style=""font-size:46px;"">6 + 7 = 14<br><br><br><br></div>"
