"rt","recall","stimuli","accuracy","set_size","trial_type","trial_index","time_elapsed","internal_node_id","stimulus"
"4624","N,K,V","N,K,V","3","3","operation-span-recall","9","43824","0.0-3.0-1.0",""
"4675","R,P,Q,J","R,P,J,Q","2","4","operation-span-recall","19","54755","0.0-3.0-1.1",""
"6637","V,F,L,R,S","V,L,F,R,S","3","5","operation-span-recall","31","71104","0.0-3.0-1.2",""
"2532","","","1","","html-button-operationspan","34","95682","0.0-5.0-0.0","<div style=""font-size:46px;"">2 + 5 = 7<br><br><br><br></div>"
"1839","","","1","","html-button-operationspan","36","98522","0.0-5.0-0.1","<div style=""font-size:46px;"">10 - 1 = 10<br><br><br><br></div>"
"3074","","","0","","html-button-operationspan","38","102600","0.0-5.0-0.2","<div style=""font-size:46px;"">5 + 9 = 14<br><br><br><br></div>"
"3113","","","1","","html-button-operationspan","40","106720","0.0-5.0-0.3","<div style=""font-size:46px;"">7 - 2 = 4<br><br><br><br></div>"
"2657","","","1","","html-button-operationspan","42","110379","0.0-5.0-0.4","<div style=""font-size:46px;"">3 - 2 = 3<br><br><br><br></div>"
"3427","","","1","","html-button-operationspan","46","135562","0.0-7.0-0.0-1.0","<div style=""font-size:46px;"">9 + 9 = 20<br><br><br><br></div>"
"4093","","","1","","html-button-operationspan","49","140660","0.0-7.0-0.0-1.1","<div style=""font-size:46px;"">6 + 6 = 12<br><br><br><br></div>"
"1996","","","1","","html-button-operationspan","52","143658","0.0-7.0-0.0-1.2","<div style=""font-size:46px;"">5 + 5 = 12<br><br><br><br></div>"
"6160","Q,J,F","Q,J,F","3","3","operation-span-recall","54","149821","0.0-7.0-1.0",""
"1816","","","0","","html-button-operationspan","57","154948","0.0-7.0-0.1-1.3","<div style=""font-size:46px;"">1 - 1 = 0<br><br><br><br></div>"
"2447","","","1","","html-button-operationspan","60","158400","0.0-7.0-0.1-1.4","<div style=""font-size:46px;"">9 + 1 = 10<br><br><br><br></div>"
"1916","","","1","","html-button-operationspan","63","161318","0.0-7.0-0.1-1.5","<div style=""font-size:46px;"">5 - 4 = 1<br><br><br><br></div>"
"2827","","","1","","html-button-operationspan","66","165151","0.0-7.0-0.1-1.6","<div style=""font-size:46px;"">3 + 4 = 7<br><br><br><br></div>"
"4834","V,Q,J,N","V,Q,J,N","4","4","operation-span-recall","68","169987","0.0-7.0-1.1",""
"2294","","","1","","html-button-operationspan","72","181771","0.0-9.0-0.0-1.0","<div style=""font-size:46px;"">6 - 3 = 3<br><br><br><br></div>"
"1799","","","1","","html-button-operationspan","75","184575","0.0-9.0-0.0-1.1","<div style=""font-size:46px;"">8 - 4 = 4<br><br><br><br></div>"
"3439","","","1","","html-button-operationspan","78","189019","0.0-9.0-0.0-1.2","<div style=""font-size:46px;"">9 - 8 = 2<br><br><br><br></div>"
"5306","","","0","","html-button-operationspan","81","195330","0.0-9.0-0.0-1.3","<div style=""font-size:46px;"">1 - 1 = 1<br><br><br><br></div>"
"6558","P,S,F,L","P,S,F,L","4","4","operation-span-recall","83","201891","0.0-9.0-1.0",""
"1370","","","1","","html-button-operationspan","86","206800","0.0-9.0-0.1-1.4","<div style=""font-size:46px;"">4 - 2 = 2<br><br><br><br></div>"
"2673","","","1","","html-button-operationspan","89","210480","0.0-9.0-0.1-1.5","<div style=""font-size:46px;"">7 - 5 = 4<br><br><br><br></div>"
"2634","","","1","","html-button-operationspan","92","214116","0.0-9.0-0.1-1.6","<div style=""font-size:46px;"">9 - 7 = 2<br><br><br><br></div>"
"3245","","","1","","html-button-operationspan","95","218364","0.0-9.0-0.1-1.7","<div style=""font-size:46px;"">9 - 1 = 10<br><br><br><br></div>"
"5230","N,S,T,F","N,S,T,F","4","4","operation-span-recall","97","223595","0.0-9.0-1.1",""
"2883","","","1","","html-button-operationspan","100","229274","0.0-9.0-0.2-1.8","<div style=""font-size:46px;"">1 - 1 = 2<br><br><br><br></div>"
"4863","","","1","","html-button-operationspan","103","235141","0.0-9.0-0.2-1.9","<div style=""font-size:46px;"">9 - 4 = 7<br><br><br><br></div>"
"3433","","","1","","html-button-operationspan","106","239579","0.0-9.0-0.2-1.10","<div style=""font-size:46px;"">7 + 6 = 13<br><br><br><br></div>"
"3497","","","1","","html-button-operationspan","109","244081","0.0-9.0-0.2-1.11","<div style=""font-size:46px;"">3 + 2 = 4<br><br><br><br></div>"
"5626","L,J,P,H","L,J,P,H","4","4","operation-span-recall","111","249709","0.0-9.0-1.2",""
