"rt","recall","stimuli","accuracy","set_size","trial_type","trial_index","time_elapsed","internal_node_id","stimulus"
"4722","L,K,N","L,K,N","3","3","operation-span-recall","9","60170","0.0-3.0-1.0",""
"5217","N,K,L,T","N,K,L,T","4","4","operation-span-recall","19","71280","0.0-3.0-1.1",""
"8146","Q,H,R,T,S","Q,H,R,P,S","4","5","operation-span-recall","31","91775","0.0-3.0-1.2",""
"3880","","","1","","html-button-operationspan","34","114051","0.0-5.0-0.0","<div style=""font-size:46px;"">7 + 4 = 11<br><br><br><br></div>"
"2012","","","1","","html-button-operationspan","36","117071","0.0-5.0-0.1","<div style=""font-size:46px;"">9 - 3 = 8<br><br><br><br></div>"
"2375","","","1","","html-button-operationspan","38","120449","0.0-5.0-0.2","<div style=""font-size:46px;"">3 + 8 = 12<br><br><br><br></div>"
"1644","","","1","","html-button-operationspan","40","123104","0.0-5.0-0.3","<div style=""font-size:46px;"">7 + 2 = 10<br><br><br><br></div>"
"2203","","","1","","html-button-operationspan","42","126312","0.0-5.0-0.4","<div style=""font-size:46px;"">9 - 8 = 1<br><br><br><br></div>"
"5837","","","1","","html-button-operationspan","46","148586","0.0-7.0-0.0-1.0","<div style=""font-size:46px;"">6 + 7 = 12<br><br><br><br></div>"
"2189","","","1","","html-button-operationspan","49","151785","0.0-7.0-0.0-1.1","<div style=""font-size:46px;"">10 - 7 = 3<br><br><br><br></div>"
"2705","","","1","","html-button-operationspan","52","155500","0.0-7.0-0.0-1.2","<div style=""font-size:46px;"">7 + 5 = 12<br><br><br><br></div>"
"4448","T,L,R","T,L,R","3","3","operation-span-recall","54","159955","0.0-7.0-1.0",""
"2715","","","1","","html-button-operationspan","57","165473","0.0-7.0-0.1-1.3","<div style=""font-size:46px;"">8 + 8 = 17<br><br><br><br></div>"
"1236","","","0","","html-button-operationspan","60","167720","0.0-7.0-0.1-1.4","<div style=""font-size:46px;"">6 - 1 = 7<br><br><br><br></div>"
"2534","","","1","","html-button-operationspan","63","171260","0.0-7.0-0.1-1.5","<div style=""font-size:46px;"">9 + 8 = 19<br><br><br><br></div>"
"1842","","","1","","html-button-operationspan","66","174109","0.0-7.0-0.1-1.6","<div style=""font-size:46px;"">8 + 6 = 12<br><br><br><br></div>"
"6292","V,T,J,Q","V,T,J,Q","4","4","operation-span-recall","68","180407","0.0-7.0-1.1",""
