"rt","recall","stimuli","accuracy","set_size","trial_type","trial_index","time_elapsed","internal_node_id","stimulus"
"5598","R,Q,V","R,Q,V","3","3","operation-span-recall","9","62166","0.0-3.0-1.0",""
"6762","L,T,V,P","L,T,V,P","4","4","operation-span-recall","19","75646","0.0-3.0-1.1",""
"8208","V,H,Q,P,J","V,H,Q,P,J","5","5","operation-span-recall","31","92224","0.0-3.0-1.2",""
"2629","","","1","","html-button-operationspan","34","130706","0.0-5.0-0.0","<div style=""font-size:46px;"">10 - 2 = 8<br><br><br><br></div>"
"2317","","","1","","html-button-operationspan","36","134026","0.0-5.0-0.1","<div style=""font-size:46px;"">2 - 1 = 3<br><br><br><br></div>"
"1829","","","1","","html-button-operationspan","38","136858","0.0-5.0-0.2","<div style=""font-size:46px;"">7 - 2 = 7<br><br><br><br></div>"
"2825","","","1","","html-button-operationspan","40","140686","0.0-5.0-0.3","<div style=""font-size:46px;"">10 - 9 = 1<br><br><br><br></div>"
"1810","","","1","","html-button-operationspan","42","143499","0.0-5.0-0.4","<div style=""font-size:46px;"">4 - 1 = 3<br><br><br><br></div>"
"2052","","","1","","html-button-operationspan","46","179622","0.0-7.0-0.0-1.0","<div style=""font-size:46px;"">9 - 3 = 7<br><br><br><br></div>"
"3605","","","1","","html-button-operationspan","49","184231","0.0-7.0-0.0-1.1","<div style=""font-size:46px;"">8 + 9 = 17<br><br><br><br></div>"
"2914","","","1","","html-button-operationspan","52","188151","0.0-7.0-0.0-1.2","<div style=""font-size:46px;"">9 + 6 = 17<br><br><br><br></div>"
"4808","N,R,P","N,R,P","3","3","operation-span-recall","54","192964","0.0-7.0-1.0",""
"1728","","","0","","html-button-operationspan","57","197573","0.0-7.0-0.1-1.3","<div style=""font-size:46px;"">1 - 1 = 0<br><br><br><br></div>"
"null","","","null","","html-button-operationspan","60","204578","0.0-7.0-0.1-1.4","<div style=""font-size:46px;"">6 + 7 = 15<br><br><br><br></div>"
"3612","","","1","","html-button-operationspan","63","209200","0.0-7.0-0.1-1.5","<div style=""font-size:46px;"">5 - 4 = 3<br><br><br><br></div>"
"3179","","","1","","html-button-operationspan","66","213383","0.0-7.0-0.1-1.6","<div style=""font-size:46px;"">7 - 4 = 3<br><br><br><br></div>"
"7166","P,J,Q,T","P,J,Q,T","4","4","operation-span-recall","68","220553","0.0-7.0-1.1",""
"3029","","","1","","html-button-operationspan","72","242593","0.0-9.0-0.0-1.0","<div style=""font-size:46px;"">6 + 9 = 15<br><br><br><br></div>"
"2163","","","1","","html-button-operationspan","75","245761","0.0-9.0-0.0-1.1","<div style=""font-size:46px;"">1 + 8 = 9<br><br><br><br></div>"
"2324","","","1","","html-button-operationspan","78","249093","0.0-9.0-0.0-1.2","<div style=""font-size:46px;"">5 - 3 = 0<br><br><br><br></div>"
"2662","","","1","","html-button-operationspan","81","252759","0.0-9.0-0.0-1.3","<div style=""font-size:46px;"">4 + 1 = 5<br><br><br><br></div>"
"6117","V,H,K,Q","V,H,K,Q","4","4","operation-span-recall","83","258883","0.0-9.0-1.0",""
"1870","","","1","","html-button-operationspan","86","265027","0.0-9.0-0.1-1.4","<div style=""font-size:46px;"">2 - 1 = 3<br><br><br><br></div>"
"1890","","","1","","html-button-operationspan","89","267921","0.0-9.0-0.1-1.5","<div style=""font-size:46px;"">2 + 4 = 6<br><br><br><br></div>"
"2184","","","1","","html-button-operationspan","92","271110","0.0-9.0-0.1-1.6","<div style=""font-size:46px;"">5 + 10 = 15<br><br><br><br></div>"
"4285","","","1","","html-button-operationspan","95","276401","0.0-9.0-0.1-1.7","<div style=""font-size:46px;"">8 - 5 = 2<br><br><br><br></div>"
"6395","Q,L,K,F","Q,L,K,F","4","4","operation-span-recall","97","282799","0.0-9.0-1.1",""
"1861","","","1","","html-button-operationspan","100","287735","0.0-9.0-0.2-1.8","<div style=""font-size:46px;"">6 - 5 = 1<br><br><br><br></div>"
"1949","","","1","","html-button-operationspan","103","290691","0.0-9.0-0.2-1.9","<div style=""font-size:46px;"">9 + 1 = 10<br><br><br><br></div>"
"2439","","","1","","html-button-operationspan","106","294134","0.0-9.0-0.2-1.10","<div style=""font-size:46px;"">7 - 4 = 4<br><br><br><br></div>"
"2885","","","1","","html-button-operationspan","109","298024","0.0-9.0-0.2-1.11","<div style=""font-size:46px;"">10 + 2 = 12<br><br><br><br></div>"
"6395","K,H,J,S","K,H,J,S","4","4","operation-span-recall","111","304424","0.0-9.0-1.2",""
"1771","","","1","","html-button-operationspan","114","310111","0.0-9.0-0.3-1.12","<div style=""font-size:46px;"">3 - 2 = 1<br><br><br><br></div>"
"2061","","","1","","html-button-operationspan","117","313178","0.0-9.0-0.3-1.13","<div style=""font-size:46px;"">5 + 2 = 7<br><br><br><br></div>"
"1707","","","1","","html-button-operationspan","120","315890","0.0-9.0-0.3-1.14","<div style=""font-size:46px;"">2 + 10 = 12<br><br><br><br></div>"
"2368","","","1","","html-button-operationspan","123","319262","0.0-9.0-0.3-1.15","<div style=""font-size:46px;"">2 + 7 = 9<br><br><br><br></div>"
"2326","","","1","","html-button-operationspan","126","322593","0.0-9.0-0.3-1.16","<div style=""font-size:46px;"">5 + 4 = 9<br><br><br><br></div>"
"6455","R,H,N,Q,S","R,H,N,Q,S","5","5","operation-span-recall","128","329054","0.0-9.0-1.3",""
"1852","","","1","","html-button-operationspan","131","334488","0.0-9.0-0.4-1.17","<div style=""font-size:46px;"">6 + 2 = 8<br><br><br><br></div>"
"2652","","","1","","html-button-operationspan","134","338144","0.0-9.0-0.4-1.18","<div style=""font-size:46px;"">9 + 3 = 12<br><br><br><br></div>"
"1737","","","1","","html-button-operationspan","137","340887","0.0-9.0-0.4-1.19","<div style=""font-size:46px;"">4 - 2 = 2<br><br><br><br></div>"
"2132","","","1","","html-button-operationspan","140","344025","0.0-9.0-0.4-1.20","<div style=""font-size:46px;"">6 - 2 = 4<br><br><br><br></div>"
"2031","","","1","","html-button-operationspan","143","347062","0.0-9.0-0.4-1.21","<div style=""font-size:46px;"">9 + 1 = 12<br><br><br><br></div>"
"15079","J,L,Q,R,K","J,L,Q,R,K","5","5","operation-span-recall","145","362145","0.0-9.0-1.4",""
"1425","","","1","","html-button-operationspan","148","366299","0.0-9.0-0.5-1.22","<div style=""font-size:46px;"">2 + 2 = 4<br><br><br><br></div>"
"1799","","","1","","html-button-operationspan","151","369103","0.0-9.0-0.5-1.23","<div style=""font-size:46px;"">3 - 1 = 3<br><br><br><br></div>"
"2002","","","1","","html-button-operationspan","154","372109","0.0-9.0-0.5-1.24","<div style=""font-size:46px;"">10 + 10 = 20<br><br><br><br></div>"
"2336","","","1","","html-button-operationspan","157","375451","0.0-9.0-0.5-1.25","<div style=""font-size:46px;"">9 + 8 = 18<br><br><br><br></div>"
"1651","","","1","","html-button-operationspan","160","378112","0.0-9.0-0.5-1.26","<div style=""font-size:46px;"">7 + 1 = 8<br><br><br><br></div>"
"8508","V,Q,P,J,H","V,Q,P,J,H","5","5","operation-span-recall","162","386624","0.0-9.0-1.5",""
"1609","","","1","","html-button-operationspan","165","391957","0.0-9.0-0.6-1.27","<div style=""font-size:46px;"">8 - 3 = 7<br><br><br><br></div>"
"2409","","","1","","html-button-operationspan","168","395370","0.0-9.0-0.6-1.28","<div style=""font-size:46px;"">7 - 4 = 3<br><br><br><br></div>"
"2194","","","1","","html-button-operationspan","171","398570","0.0-9.0-0.6-1.29","<div style=""font-size:46px;"">10 + 5 = 16<br><br><br><br></div>"
"1749","","","1","","html-button-operationspan","174","401323","0.0-9.0-0.6-1.30","<div style=""font-size:46px;"">2 + 10 = 12<br><br><br><br></div>"
"1674","","","1","","html-button-operationspan","177","404004","0.0-9.0-0.6-1.31","<div style=""font-size:46px;"">1 - 1 = 2<br><br><br><br></div>"
"3687","","","1","","html-button-operationspan","180","408697","0.0-9.0-0.6-1.32","<div style=""font-size:46px;"">9 + 5 = 16<br><br><br><br></div>"
"9981","Q,F,V,H,S,J","Q,F,V,H,S,J","6","6","operation-span-recall","182","418681","0.0-9.0-1.6",""
"2988","","","0","","html-button-operationspan","185","424146","0.0-9.0-0.7-1.33","<div style=""font-size:46px;"">8 + 3 = 11<br><br><br><br></div>"
"2703","","","1","","html-button-operationspan","188","427854","0.0-9.0-0.7-1.34","<div style=""font-size:46px;"">10 - 1 = 8<br><br><br><br></div>"
"2336","","","1","","html-button-operationspan","191","431196","0.0-9.0-0.7-1.35","<div style=""font-size:46px;"">1 + 6 = 8<br><br><br><br></div>"
"2145","","","1","","html-button-operationspan","194","434344","0.0-9.0-0.7-1.36","<div style=""font-size:46px;"">9 + 4 = 13<br><br><br><br></div>"
