"rt","recall","stimuli","accuracy","set_size","trial_type","trial_index","time_elapsed","internal_node_id","stimulus"
"4525","T,R,S","T,R,S","3","3","operation-span-recall","9","47940","0.0-3.0-1.0",""
"3940","K,L,Q,F","K,L,Q,F","4","4","operation-span-recall","19","57709","0.0-3.0-1.1",""
"6045","S,T,K,L,V","S,T,L,K,V","3","5","operation-span-recall","31","70367","0.0-3.0-1.2",""
"2401","","","1","","html-button-operationspan","34","99335","0.0-5.0-0.0","<div style=""font-size:46px;"">4 + 2 = 6<br><br><br><br></div>"
"1439","","","0","","html-button-operationspan","36","101776","0.0-5.0-0.1","<div style=""font-size:46px;"">1 + 7 = 6<br><br><br><br></div>"
"5139","","","1","","html-button-operationspan","38","107917","0.0-5.0-0.2","<div style=""font-size:46px;"">7 - 6 = 2<br><br><br><br></div>"
"2368","","","1","","html-button-operationspan","40","111288","0.0-5.0-0.3","<div style=""font-size:46px;"">4 - 2 = 2<br><br><br><br></div>"
"2641","","","1","","html-button-operationspan","42","114930","0.0-5.0-0.4","<div style=""font-size:46px;"">7 - 6 = 1<br><br><br><br></div>"
"1854","","","1","","html-button-operationspan","46","145504","0.0-7.0-0.0-1.0","<div style=""font-size:46px;"">4 - 2 = 0<br><br><br><br></div>"
"2599","","","1","","html-button-operationspan","49","149107","0.0-7.0-0.0-1.1","<div style=""font-size:46px;"">1 + 1 = 2<br><br><br><br></div>"
"1725","","","1","","html-button-operationspan","52","151836","0.0-7.0-0.0-1.2","<div style=""font-size:46px;"">5 - 1 = 2<br><br><br><br></div>"
"3343","K,R,H","K,R,H","3","3","operation-span-recall","54","155183","0.0-7.0-1.0",""
"1744","","","1","","html-button-operationspan","57","159370","0.0-7.0-0.1-1.3","<div style=""font-size:46px;"">7 + 2 = 10<br><br><br><br></div>"
"2271","","","1","","html-button-operationspan","60","162645","0.0-7.0-0.1-1.4","<div style=""font-size:46px;"">4 + 2 = 8<br><br><br><br></div>"
"3129","","","1","","html-button-operationspan","63","166776","0.0-7.0-0.1-1.5","<div style=""font-size:46px;"">7 + 5 = 12<br><br><br><br></div>"
"2968","","","1","","html-button-operationspan","66","170747","0.0-7.0-0.1-1.6","<div style=""font-size:46px;"">8 + 5 = 15<br><br><br><br></div>"
"5194","P,J,F,N","P,J,F,N","4","4","operation-span-recall","68","175945","0.0-7.0-1.1",""
"3703","","","1","","html-button-operationspan","72","189410","0.0-9.0-0.0-1.0","<div style=""font-size:46px;"">8 + 5 = 14<br><br><br><br></div>"
"1709","","","1","","html-button-operationspan","75","192123","0.0-9.0-0.0-1.1","<div style=""font-size:46px;"">7 + 3 = 10<br><br><br><br></div>"
"1571","","","1","","html-button-operationspan","78","194697","0.0-9.0-0.0-1.2","<div style=""font-size:46px;"">1 - 1 = 1<br><br><br><br></div>"
"2327","","","1","","html-button-operationspan","81","198028","0.0-9.0-0.0-1.3","<div style=""font-size:46px;"">5 - 1 = 6<br><br><br><br></div>"
"5147","V,L,P,F","V,L,P,F","4","4","operation-span-recall","83","203178","0.0-9.0-1.0",""
"2000","","","1","","html-button-operationspan","86","208893","0.0-9.0-0.1-1.4","<div style=""font-size:46px;"">5 + 8 = 13<br><br><br><br></div>"
"2962","","","1","","html-button-operationspan","89","212859","0.0-9.0-0.1-1.5","<div style=""font-size:46px;"">8 - 5 = 3<br><br><br><br></div>"
