"rt","recall","stimuli","accuracy","set_size","trial_type","trial_index","time_elapsed","internal_node_id","stimulus"
"5117","V,Q,T","V,Q,T","3","3","operation-span-recall","9","52585","0.0-3.0-1.0",""
"6156","K,L,N,F","K,L,N,F","4","4","operation-span-recall","19","66514","0.0-3.0-1.1",""
"7299","L,R,P,H,N","L,R,P,H,N","5","5","operation-span-recall","31","80696","0.0-3.0-1.2",""
"2207","","","1","","html-button-operationspan","34","108019","0.0-5.0-0.0","<div style=""font-size:46px;"">7 - 1 = 6<br><br><br><br></div>"
"4934","","","1","","html-button-operationspan","36","113955","0.0-5.0-0.1","<div style=""font-size:46px;"">5 + 8 = 12<br><br><br><br></div>"
"3439","","","1","","html-button-operationspan","38","118398","0.0-5.0-0.2","<div style=""font-size:46px;"">8 - 7 = 1<br><br><br><br></div>"
"1705","","","1","","html-button-operationspan","40","121107","0.0-5.0-0.3","<div style=""font-size:46px;"">1 + 3 = 4<br><br><br><br></div>"
"1539","","","1","","html-button-operationspan","42","123649","0.0-5.0-0.4","<div style=""font-size:46px;"">1 + 7 = 8<br><br><br><br></div>"
"1851","","","1","","html-button-operationspan","46","167629","0.0-7.0-0.0-1.0","<div style=""font-size:46px;"">5 + 1 = 4<br><br><br><br></div>"
"1312","","","1","","html-button-operationspan","49","169945","0.0-7.0-0.0-1.1","<div style=""font-size:46px;"">10 + 10 = 20<br><br><br><br></div>"
"1945","","","1","","html-button-operationspan","52","172895","0.0-7.0-0.0-1.2","<div style=""font-size:46px;"">3 - 1 = 2<br><br><br><br></div>"
"5133","N,L,K","N,L,K","3","3","operation-span-recall","54","178032","0.0-7.0-1.0",""
"2135","","","1","","html-button-operationspan","57","184213","0.0-7.0-0.1-1.3","<div style=""font-size:46px;"">5 + 7 = 12<br><br><br><br></div>"
"1417","","","1","","html-button-operationspan","60","186636","0.0-7.0-0.1-1.4","<div style=""font-size:46px;"">3 + 5 = 10<br><br><br><br></div>"
"1700","","","1","","html-button-operationspan","63","189340","0.0-7.0-0.1-1.5","<div style=""font-size:46px;"">6 - 1 = 5<br><br><br><br></div>"
"1647","","","1","","html-button-operationspan","66","191994","0.0-7.0-0.1-1.6","<div style=""font-size:46px;"">5 + 7 = 10<br><br><br><br></div>"
"7172","T,P,H,S","T,P,H,S","4","4","operation-span-recall","68","199170","0.0-7.0-1.1",""
"1594","","","1","","html-button-operationspan","72","212911","0.0-9.0-0.0-1.0","<div style=""font-size:46px;"">4 + 3 = 5<br><br><br><br></div>"
"1449","","","1","","html-button-operationspan","75","215367","0.0-9.0-0.0-1.1","<div style=""font-size:46px;"">10 - 2 = 8<br><br><br><br></div>"
"2152","","","1","","html-button-operationspan","78","218524","0.0-9.0-0.0-1.2","<div style=""font-size:46px;"">2 - 1 = 0<br><br><br><br></div>"
